# VSR TECHNOLOGIES
# iDEN TABLE
#
# ChId,Base Freq,Spacing (khz),Input Offset (mhz),Bandwidth (khz),<newline>
0,450000000,6.25,5.000,12.5,
1,146000000,6.25,1.000,12.5,
